Huurobject;Mutatiegraad
HO 3000/1193/47;0,071
HO 3000/1193/48;0
HO 3000/1193/49;0,071
HO 3000/1193/50;0,071
HO 3000/1193/51;0
HO 3000/1196/1;0,071
HO 3000/1197/1;0,214
HO 3000/1197/14;0
HO 3000/1197/15;0,214
HO 3000/1197/16;0
HO 3000/1197/17;0
HO 3000/1197/2;0,143
HO 3000/1197/3;0,071
HO 3000/1197/4;0
HO 3000/1197/5;0
HO 3000/1197/6;0
HO 3000/1197/7;0,071
HO 3000/1198/1;0,071
HO 3000/1198/10;0
HO 3000/1198/11;0
HO 3000/1198/12;0
HO 3000/1198/13;0
HO 3000/1198/14;0,071
HO 3000/1198/15;0,143
HO 3000/1198/16;0
HO 3000/1198/17;0
HO 3000/1198/18;0,071
HO 3000/1198/19;0
HO 3000/1198/2;0,143
HO 3000/1198/20;0
HO 3000/1198/21;0
HO 3000/1198/22;0
HO 3000/1198/23;0,071
HO 3000/1198/24;0,143
HO 3000/1198/25;0
HO 3000/1198/26;0,071
HO 3000/1198/27;0,071
HO 3000/1198/28;0
HO 3000/1198/29;0,071
HO 3000/1198/3;0
HO 3000/1198/30;0
HO 3000/1198/31;0,071
HO 3000/1198/32;0
HO 3000/1198/33;0
HO 3000/1198/34;0
HO 3000/1198/35;0
HO 3000/1198/36;0,071
HO 3000/1198/37;0,143
HO 3000/1198/38;0
HO 3000/1198/39;0
HO 3000/1198/4;0,071
HO 3000/1198/40;0,071
HO 3000/1198/41;0
HO 3000/1198/42;0
HO 3000/1198/43;0,071
HO 3000/1198/44;0,071
HO 3000/1198/45;0
HO 3000/1198/46;0,143
HO 3000/1198/47;0
HO 3000/1198/48;0,071
HO 3000/1198/49;0
HO 3000/1198/5;0,071
HO 3000/1198/50;0
HO 3000/1198/51;0,071
HO 3000/1198/52;0
HO 3000/1198/53;0,071
HO 3000/1198/6;0
HO 3000/1198/7;0,071
HO 3000/1198/8;0
HO 3000/1198/9;0,071
HO 3000/1199/1;0
HO 3000/1199/10;0
HO 3000/1199/11;0,143
HO 3000/1199/12;0
HO 3000/1199/13;0,071
HO 3000/1199/14;0
HO 3000/1199/15;0
HO 3000/1199/16;0,071
HO 3000/1199/17;0
HO 3000/1199/18;0,071
HO 3000/1199/2;0
HO 3000/1199/3;0
HO 3000/1199/4;0
HO 3000/1199/5;0
HO 3000/1199/6;0
HO 3000/1199/7;0
HO 3000/1199/8;0,071
HO 3000/1199/9;0,071
HO 3000/12/1;0
HO 3000/120/1;0
HO 3000/120/2;0,071
HO 3000/120/3;0
HO 3000/120/4;0
HO 3000/120/5;0
HO 3000/120/6;0,071
HO 3000/1203/1;0,071
HO 3000/1203/10;0,071
HO 3000/1203/2;0,071
HO 3000/1203/3;0,071
HO 3000/1203/4;0,071
HO 3000/1203/5;0,071
HO 3000/1203/6;0,071
HO 3000/1203/7;0,143
HO 3000/1203/8;0,143
HO 3000/1203/9;0,071
HO 3000/1205/1;0
HO 3000/1205/10;0,143
HO 3000/1205/11;0
HO 3000/1205/12;0
HO 3000/1205/13;0
HO 3000/1205/14;0
HO 3000/1205/2;0
HO 3000/1205/3;0
HO 3000/1205/4;0,071
HO 3000/1205/5;0,071
HO 3000/1205/6;0,071
HO 3000/1205/7;0
HO 3000/1205/8;0
HO 3000/1205/9;0
HO 3000/1206/1;0,286
HO 3000/1206/10;0
HO 3000/1206/11;0
HO 3000/1206/12;0
HO 3000/1206/13;0
HO 3000/1206/14;0
HO 3000/1206/15;0,071
HO 3000/1206/16;0,143
HO 3000/1206/17;0,143
HO 3000/1206/18;0,071
HO 3000/1206/19;0,143
HO 3000/1206/2;0,143
HO 3000/1206/20;0,143
HO 3000/1206/21;0,143
HO 3000/1206/22;0,071
HO 3000/1206/23;0,071
HO 3000/1206/24;0,143
HO 3000/1206/25;0,071
HO 3000/1206/26;0,071
HO 3000/1206/27;0,071
HO 3000/1206/28;0
HO 3000/1206/29;0
HO 3000/1206/3;0,214
HO 3000/1206/30;0
HO 3000/1206/31;0,143
HO 3000/1206/32;0,214
HO 3000/1206/33;0,214
HO 3000/1206/34;0,143
HO 3000/1206/35;0,071
HO 3000/1206/36;0,071
HO 3000/1206/37;0,071
HO 3000/1206/38;0,071
HO 3000/1206/39;0,143
HO 3000/1206/4;0,071
HO 3000/1206/40;0,143
HO 3000/1206/41;0,143
HO 3000/1206/42;0
HO 3000/1206/43;0,143
HO 3000/1206/44;0
HO 3000/1206/45;0,071
HO 3000/1206/46;0,214
HO 3000/1206/47;0
HO 3000/1206/48;0,143
HO 3000/1206/49;0,071
HO 3000/1206/5;0,214
HO 3000/1206/50;0,071
HO 3000/1206/51;0,071
HO 3000/1206/52;0
HO 3000/1206/53;0
HO 3000/1206/54;0,214
HO 3000/1206/55;0
HO 3000/1206/56;0,071
HO 3000/1206/57;0,071
HO 3000/1206/58;0,071
HO 3000/1206/59;0
HO 3000/1206/6;0,071
HO 3000/1206/60;0,071
HO 3000/1206/61;0,071
HO 3000/1206/62;0,071
HO 3000/1206/63;0
HO 3000/1206/64;0
HO 3000/1206/65;0,071
HO 3000/1206/66;0,071
HO 3000/1206/67;0
HO 3000/1206/68;0
HO 3000/1206/69;0,143
HO 3000/1206/7;0,071
HO 3000/1206/70;0
HO 3000/1206/71;0
HO 3000/1206/72;0,214
HO 3000/1206/73;0,143
HO 3000/1206/74;0,071
HO 3000/1206/75;0,071
HO 3000/1206/76;0
HO 3000/1206/77;0
HO 3000/1206/78;0,143
HO 3000/1206/79;0,143
HO 3000/1206/8;0
HO 3000/1206/80;0,214
HO 3000/1206/81;0,071
HO 3000/1206/82;0,143
HO 3000/1206/83;0,071
HO 3000/1206/9;0
HO 3000/1207/1;0,071
HO 3000/1207/10;0
HO 3000/1207/2;0,071
HO 3000/1207/3;0
HO 3000/1207/4;0,071
HO 3000/1207/5;0
HO 3000/1207/6;0
HO 3000/1207/7;0,071
HO 3000/1207/8;0
HO 3000/1207/9;0,071
HO 3000/1208/1;0
HO 3000/1208/2;0
HO 3000/1209/1;0
HO 3000/1209/10;0,071
HO 3000/1209/11;0
HO 3000/1209/12;0
HO 3000/1209/13;0,143
HO 3000/1209/14;0,071
HO 3000/1209/15;0,143
HO 3000/1209/16;0,071
HO 3000/1209/17;0
HO 3000/1209/18;0
HO 3000/1209/19;0,071
HO 3000/1209/2;0
HO 3000/1209/20;0
HO 3000/1209/21;0
HO 3000/1209/22;0
HO 3000/1209/23;0
HO 3000/1209/24;0,071
HO 3000/1209/25;0,143
HO 3000/1209/26;0
HO 3000/1209/27;0,143
HO 3000/1209/3;0
HO 3000/1209/4;0
HO 3000/1209/5;0
HO 3000/1209/6;0
HO 3000/1209/7;0
HO 3000/1209/8;0
HO 3000/1209/9;0
HO 3000/121/1;0,286
HO 3000/121/2;0,143
HO 3000/121/3;0,071
HO 3000/121/4;0,214
HO 3000/121/5;0,143
HO 3000/121/6;0,143
HO 3000/1211/1;0
HO 3000/1211/2;0,071
HO 3000/1215/1;0,143
HO 3000/1215/10;0,071
HO 3000/1215/11;0,214
HO 3000/1215/12;0,143
HO 3000/1215/13;0
HO 3000/1215/2;0
HO 3000/1215/3;0,143
HO 3000/1215/4;0
HO 3000/1215/5;0,214
HO 3000/1215/6;0
HO 3000/1215/7;0,071
HO 3000/1215/8;0,214
HO 3000/1215/9;0
HO 3000/1217/10;0
HO 3000/1217/12;0
HO 3000/1217/2;0
HO 3000/1217/4;0
HO 3000/1217/6;0
HO 3000/1217/8;0,071
HO 3000/1219/1;0,143
HO 3000/1219/10;0,071
HO 3000/1219/11;0,214
HO 3000/1219/12;0,143
HO 3000/1219/13;0,143
HO 3000/1219/14;0,357
HO 3000/1219/15;0,071
HO 3000/1219/16;0,143
HO 3000/1219/17;0,214
HO 3000/1219/18;0,214
HO 3000/1219/19;0,357
HO 3000/1219/2;0,071
HO 3000/1219/20;0,071
HO 3000/1219/21;0
HO 3000/1219/22;0,214
HO 3000/1219/23;0,143
HO 3000/1219/24;0,286
HO 3000/1219/25;0,143
HO 3000/1219/26;0,143
HO 3000/1219/27;0,143
HO 3000/1219/28;0,143
HO 3000/1219/29;0,143
HO 3000/1219/3;0,071
HO 3000/1219/30;0
HO 3000/1219/31;0,214
HO 3000/1219/32;0,071
HO 3000/1219/33;0,214
HO 3000/1219/34;0,071
HO 3000/1219/35;0,071
HO 3000/1219/36;0,143
HO 3000/1219/37;0,071
HO 3000/1219/38;0,071
HO 3000/1219/39;0,143
HO 3000/1219/4;0,071
HO 3000/1219/40;0,143
HO 3000/1219/5;0,071
HO 3000/1219/6;0,143
HO 3000/1219/7;0,071
HO 3000/1219/8;0,071
HO 3000/1219/9;0,214
HO 3000/1221/10;0,071
HO 3000/1221/11;0
HO 3000/1221/2;0,071
HO 3000/1221/3;0
HO 3000/1221/4;0
HO 3000/1221/5;0
HO 3000/1221/6;0
HO 3000/1221/7;0
HO 3000/1221/8;0,143
HO 3000/1221/9;0
HO 3000/1222/1;0,071
HO 3000/1222/2;0,143
HO 3000/1222/3;0,071
HO 3000/1222/4;0,143
HO 3000/1222/5;0,071
HO 3000/1222/6;0,071
HO 3000/1222/7;0
HO 3000/1222/8;0
HO 3000/1224/1;0,071
HO 3000/1224/10;0,071
HO 3000/1224/11;0,071
HO 3000/1224/12;0,071
HO 3000/1224/13;0,071
HO 3000/1224/14;0
HO 3000/1224/15;0
HO 3000/1224/16;0,071
HO 3000/1224/17;0,143
HO 3000/1224/18;0,214
HO 3000/1224/19;0,143
HO 3000/1224/2;0,143
HO 3000/1224/20;0
HO 3000/1224/21;0,143
HO 3000/1224/3;0,214
HO 3000/1224/4;0
HO 3000/1224/6;0,143
HO 3000/1224/7;0,143
HO 3000/1224/8;0
HO 3000/1224/9;0
HO 3000/1225/1;0,071
HO 3000/1225/10;0,143
HO 3000/1225/11;0,071
HO 3000/1225/12;0,143
HO 3000/1225/13;0,214
HO 3000/1225/2;0,143
HO 3000/1225/3;0,143
HO 3000/1225/4;0,214
HO 3000/1225/5;0
HO 3000/1225/6;0
HO 3000/1225/7;0,286
HO 3000/1225/8;0
HO 3000/1225/9;0
HO 3000/1227/1;0,071
HO 3000/1227/10;0
HO 3000/1227/11;0
HO 3000/1227/12;0
HO 3000/1227/13;0
HO 3000/1227/14;0
HO 3000/1227/2;0
HO 3000/1227/3;0,071
HO 3000/1227/4;0,143
HO 3000/1227/5;0,071
HO 3000/1227/6;0
HO 3000/1227/7;0
HO 3000/1227/8;0
HO 3000/1227/9;0
HO 3000/1229/1;0
HO 3000/1229/10;0
HO 3000/1229/11;0
HO 3000/1229/12;0
HO 3000/1229/13;0
HO 3000/1229/14;0
HO 3000/1229/15;0,071
HO 3000/1229/16;0
HO 3000/1229/17;0
HO 3000/1229/18;0
HO 3000/1229/19;0,071
HO 3000/1229/2;0
HO 3000/1229/20;0
HO 3000/1229/21;0,071
HO 3000/1229/22;0,143
HO 3000/1229/3;0
HO 3000/1229/4;0,071
HO 3000/1229/5;0
HO 3000/1229/6;0
HO 3000/1229/7;0
HO 3000/1229/8;0
HO 3000/1229/9;0
HO 3000/1231/13;0
HO 3000/1231/3;0
HO 3000/1231/7;0
HO 3000/1232/1;0,071
HO 3000/1232/2;0,071
HO 3000/1232/3;0,143
HO 3000/1232/4;0,143
HO 3000/1232/5;0,071
HO 3000/1233/1;0,143
HO 3000/1233/10;0,071
HO 3000/1233/11;0,143
HO 3000/1233/12;0
HO 3000/1233/13;0,143
HO 3000/1233/14;0,214
HO 3000/1233/15;0,071
HO 3000/1233/16;0,143
HO 3000/1233/17;0,143
HO 3000/1233/18;0,071
HO 3000/1233/19;0,143
HO 3000/1233/2;0,071
HO 3000/1233/20;0
HO 3000/1233/21;0,071
HO 3000/1233/22;0,071
HO 3000/1233/23;0
HO 3000/1233/24;0,071
HO 3000/1233/25;0,143
HO 3000/1233/26;0,286
HO 3000/1233/27;0,071
HO 3000/1233/28;0,143
HO 3000/1233/29;0,071
HO 3000/1233/3;0,214
HO 3000/1233/30;0,143
HO 3000/1233/31;0,071
HO 3000/1233/32;0,071
HO 3000/1233/4;0,071
HO 3000/1233/5;0,143
HO 3000/1233/6;0,071
HO 3000/1233/7;0,214
HO 3000/1233/8;0,143
HO 3000/1233/9;0,071
HO 3000/1234/1;0
HO 3000/1234/10;0,071
HO 3000/1234/11;0,071
HO 3000/1234/12;0
HO 3000/1234/13;0,286
HO 3000/1234/14;0,214
HO 3000/1234/15;0
HO 3000/1234/16;0,214
HO 3000/1234/17;0,143
HO 3000/1234/18;0,143
HO 3000/1234/19;0,214
HO 3000/1234/20;0,071
HO 3000/1234/21;0,143
HO 3000/1234/22;0
HO 3000/1234/23;0
HO 3000/1234/24;0,071
HO 3000/1234/26;0,214
HO 3000/1234/27;0,143
HO 3000/1234/28;0,214
HO 3000/1234/29;0,143
HO 3000/1234/3;0
HO 3000/1234/30;0
HO 3000/1234/5;0,071
HO 3000/1234/6;0,286
HO 3000/1234/8;0,071
HO 3000/1234/9;0,214
HO 3000/1236/1;0
HO 3000/1236/2;0
HO 3000/1236/3;0
HO 3000/1237/1;0
HO 3000/1237/19;0
HO 3000/1237/20;0
HO 3000/1237/7;0
HO 3000/1237/8;0
HO 3000/1238/1;0,071
HO 3000/1238/12;0
HO 3000/1238/13;0
HO 3000/1238/2;0
HO 3000/1238/4;0,143
HO 3000/1238/5;0
HO 3000/1238/6;0
HO 3000/124/1;0
HO 3000/124/2;0
HO 3000/124/3;0,071
HO 3000/1240/1;0,071
HO 3000/1240/15;0,071
HO 3000/1240/16;0
HO 3000/1240/2;0
HO 3000/1240/23;0,143
HO 3000/1240/24;0,071
HO 3000/1240/25;0,143
HO 3000/1240/26;0,071
HO 3000/1240/27;0,071
HO 3000/1240/28;0,143
HO 3000/1240/29;0
HO 3000/1240/30;0,071
HO 3000/1240/31;0,071
HO 3000/1240/32;0,071
HO 3000/1240/33;0,357
HO 3000/1240/34;0
HO 3000/1240/35;0,214
HO 3000/1240/36;0,143
HO 3000/1240/37;0,071
HO 3000/1240/38;0,071
HO 3000/1240/39;0,071
HO 3000/1240/40;0,143
HO 3000/1240/41;0,071
HO 3000/1240/42;0,071
HO 3000/1240/43;0,071
HO 3000/1240/44;0,071
HO 3000/1240/45;0,071
HO 3000/1240/46;0,071
HO 3000/1240/47;0,286
HO 3000/1240/48;0,071
HO 3000/1240/49;0,143
HO 3000/1240/50;0
HO 3000/1240/51;0
HO 3000/1240/52;0,143
HO 3000/1240/53;0,071
HO 3000/1240/54;0,214
HO 3000/1240/55;0,143
HO 3000/1240/56;0,143
HO 3000/1240/57;0,214
HO 3000/1240/58;0,143
HO 3000/1240/59;0,286
HO 3000/1240/60;0,071
HO 3000/1240/61;0
HO 3000/1240/62;0,071
HO 3000/1240/63;0,357
HO 3000/1240/64;0
HO 3000/1240/65;0
HO 3000/1240/71;0,071
HO 3000/1240/72;0,071
HO 3000/1240/73;0
HO 3000/1240/74;0,071
HO 3000/1240/75;0,071
HO 3000/1240/76;0,071
HO 3000/1240/77;0,071
HO 3000/1240/78;0,143
HO 3000/1240/79;0,071
HO 3000/1240/8;0,143
HO 3000/1240/80;0,143
HO 3000/1240/81;0,071
HO 3000/1240/82;0
HO 3000/1240/88;0,071
HO 3000/1240/89;0
HO 3000/1240/9;0
HO 3000/1242/1;0
HO 3000/1242/11;0
HO 3000/1242/12;0
HO 3000/1242/13;0,071
HO 3000/1242/14;0,071
HO 3000/1242/15;0,071
HO 3000/1242/16;0
HO 3000/1242/2;0
HO 3000/1242/3;0,214
HO 3000/1242/4;0,071
HO 3000/1242/5;0,214
HO 3000/1242/6;0,071
HO 3000/1242/7;0
HO 3000/1242/8;0
HO 3000/1242/9;0,143
HO 3000/1244/1;0
HO 3000/1244/2;0,071
HO 3000/1244/3;0
HO 3000/1244/4;0,071
HO 3000/1244/5;0
HO 3000/1244/6;0
HO 3000/1244/7;0
HO 3000/1244/8;0,071
HO 3000/1248/1;0
HO 3000/125/1;0
HO 3000/125/2;0,071
HO 3000/125/3;0,214
HO 3000/125/4;0,143
HO 3000/1251/1;0,143
HO 3000/1251/10;0,071
HO 3000/1251/11;0,286
HO 3000/1251/12;0,143
HO 3000/1251/13;0,143
HO 3000/1251/14;0,143
HO 3000/1251/15;0,143
HO 3000/1251/16;0,357
HO 3000/1251/17;0,143
HO 3000/1251/18;0,214
HO 3000/1251/2;0,071
HO 3000/1251/3;0,143
HO 3000/1251/4;0,143
HO 3000/1251/5;0
HO 3000/1251/6;0,214
HO 3000/1251/7;0,214
HO 3000/1251/8;0,071
HO 3000/1251/9;0,071
HO 3000/1252/1;0,214
HO 3000/1252/10;0,214
HO 3000/1252/11;0,143
HO 3000/1252/12;0,357
HO 3000/1252/13;0,071
HO 3000/1252/14;0
HO 3000/1252/15;0,214
HO 3000/1252/16;0,214
HO 3000/1252/17;0,286
HO 3000/1252/18;0,143
HO 3000/1252/19;0,143
HO 3000/1252/2;0,143
HO 3000/1252/3;0,214
HO 3000/1252/4;0,214
HO 3000/1252/5;0,214
HO 3000/1252/6;0,214
HO 3000/1252/7;0,143
HO 3000/1252/8;0,071
HO 3000/1252/9;0,143
HO 3000/1253/1;0
HO 3000/1253/3;0
HO 3000/1253/5;0,071
HO 3000/1253/7;0
HO 3000/1253/9;0,143
HO 3000/126/1;0,071
HO 3000/126/10;0,143
HO 3000/126/11;0,071
HO 3000/126/12;0
HO 3000/126/13;0
HO 3000/126/14;0,071
HO 3000/126/15;0,143
HO 3000/126/16;0,071
HO 3000/126/2;0,071
HO 3000/126/3;0
HO 3000/126/4;0
HO 3000/126/5;0,071
HO 3000/126/6;0,071
HO 3000/126/7;0
HO 3000/126/8;0
HO 3000/126/9;0
HO 3000/127/1;0
HO 3000/127/3;0,071
HO 3000/127/4;0
HO 3000/127/6;0
HO 3000/127/7;0
HO 3000/128/1;0
HO 3000/128/2;0,071
HO 3000/128/3;0,071
HO 3000/129/1;0
HO 3000/129/10;0,143
HO 3000/129/11;0
HO 3000/129/12;0
HO 3000/129/14;0
HO 3000/129/15;0
HO 3000/129/2;0,071
HO 3000/129/3;0
HO 3000/129/4;0
HO 3000/129/5;0
HO 3000/129/8;0
HO 3000/129/9;0
HO 3000/13/1;0
HO 3000/13/6;0
HO 3000/130/10;0
HO 3000/130/11;0
HO 3000/130/2;0
HO 3000/130/3;0
HO 3000/130/4;0
HO 3000/130/6;0
HO 3000/130/7;0
HO 3000/130/8;0
HO 3000/131/1;0
HO 3000/131/2;0,071
HO 3000/131/3;0
HO 3000/1319/1;0
HO 3000/1319/2;0
HO 3000/1319/3;0,071
HO 3000/1319/4;0
HO 3000/1319/5;0,143
HO 3000/1319/6;0
HO 3000/132/1;0
HO 3000/132/10;0
HO 3000/132/11;0
HO 3000/132/12;0
HO 3000/132/13;0,071
HO 3000/132/15;0
HO 3000/132/16;0
HO 3000/132/17;0
HO 3000/132/18;0
HO 3000/132/19;0,071
HO 3000/132/21;0,071
HO 3000/132/23;0
HO 3000/132/25;0
HO 3000/132/26;0
HO 3000/132/27;0
HO 3000/132/29;0
HO 3000/132/3;0
HO 3000/132/30;0,071
HO 3000/132/31;0
HO 3000/132/32;0,071
HO 3000/132/33;0
HO 3000/132/34;0
HO 3000/132/35;0,143
HO 3000/132/4;0
HO 3000/132/5;0,071
HO 3000/132/6;0,143
HO 3000/132/7;0
HO 3000/132/8;0
HO 3000/132/9;0,071
HO 3000/133/1;0
HO 3000/133/10;0
HO 3000/133/12;0,071
HO 3000/133/13;0
HO 3000/133/14;0
HO 3000/133/15;0
HO 3000/133/17;0
HO 3000/133/18;0,071
HO 3000/133/19;0
HO 3000/133/20;0
HO 3000/133/21;0
HO 3000/133/22;0,071
HO 3000/133/23;0,071
HO 3000/133/24;0
HO 3000/133/25;0
HO 3000/133/26;0,071
HO 3000/133/27;0,071
HO 3000/133/28;0
HO 3000/133/29;0,071
HO 3000/133/3;0
HO 3000/133/30;0
HO 3000/133/31;0,071
HO 3000/133/32;0
HO 3000/133/33;0
HO 3000/133/35;0
HO 3000/133/36;0
HO 3000/133/4;0
HO 3000/133/5;0
HO 3000/133/6;0
HO 3000/133/7;0
HO 3000/133/8;0
HO 3000/133/9;0
HO 3000/134/2;0,071
HO 3000/135/1;0
HO 3000/135/2;0,071
HO 3000/135/3;0
HO 3000/135/4;0
HO 3000/137/10;0
HO 3000/137/11;0,071
HO 3000/137/12;0
HO 3000/137/13;0
HO 3000/137/14;0,143
HO 3000/137/15;0
HO 3000/137/2;0
HO 3000/137/3;0
HO 3000/137/5;0
HO 3000/137/6;0
HO 3000/137/7;0
HO 3000/137/8;0,071
HO 3000/138/1;0
HO 3000/138/11;0
HO 3000/138/12;0,071
HO 3000/138/13;0
HO 3000/138/14;0
HO 3000/138/15;0,071
HO 3000/138/16;0
HO 3000/138/17;0
HO 3000/138/18;0
HO 3000/138/19;0,071
HO 3000/138/2;0
HO 3000/138/20;0
HO 3000/138/21;0
HO 3000/138/22;0
HO 3000/138/23;0,071
HO 3000/138/24;0
HO 3000/138/25;0
HO 3000/138/26;0,143
HO 3000/138/27;0,071
HO 3000/138/28;0
HO 3000/138/3;0
HO 3000/138/31;0
HO 3000/138/32;0,071
HO 3000/138/33;0
HO 3000/138/34;0,071
HO 3000/138/35;0
HO 3000/138/37;0
HO 3000/138/38;0,071
HO 3000/138/39;0,071
HO 3000/138/4;0
HO 3000/138/41;0
HO 3000/138/42;0
HO 3000/138/43;0,071
HO 3000/138/44;0,071
HO 3000/138/5;0
HO 3000/138/6;0
HO 3000/138/7;0
HO 3000/138/8;0
HO 3000/138/9;0
HO 3000/139/1;0
HO 3000/139/10;0,071
HO 3000/139/12;0
HO 3000/139/13;0
HO 3000/139/14;0,071
HO 3000/139/15;0
HO 3000/139/16;0
HO 3000/139/17;0
HO 3000/139/18;0
HO 3000/139/19;0
HO 3000/139/2;0
HO 3000/139/20;0
HO 3000/139/21;0
HO 3000/139/3;0
HO 3000/139/4;0
HO 3000/139/5;0,071
HO 3000/139/6;0
HO 3000/139/7;0
HO 3000/139/8;0
HO 3000/139/9;0
HO 3000/140/1;0
HO 3000/140/10;0
HO 3000/140/11;0,071
HO 3000/140/12;0,071
HO 3000/140/2;0
HO 3000/140/3;0,071
HO 3000/140/4;0
HO 3000/140/5;0,071
HO 3000/140/6;0,143
HO 3000/140/7;0
HO 3000/140/8;0,071
HO 3000/140/9;0
HO 3000/141/1;0
HO 3000/141/10;0
HO 3000/141/11;0,071
HO 3000/141/12;0,071
HO 3000/141/13;0,071
HO 3000/141/14;0,071
HO 3000/141/15;0
HO 3000/141/16;0
HO 3000/141/17;0
HO 3000/141/18;0,143
HO 3000/141/19;0,143
HO 3000/141/2;0
HO 3000/141/20;0
HO 3000/141/21;0
HO 3000/141/22;0
HO 3000/141/23;0
HO 3000/141/24;0
HO 3000/141/25;0
HO 3000/141/27;0
HO 3000/141/3;0
HO 3000/141/4;0
HO 3000/141/5;0
HO 3000/141/6;0
HO 3000/141/8;0
HO 3000/141/9;0
HO 3000/143/1;0,071
HO 3000/143/10;0,071
HO 3000/143/11;0
HO 3000/143/12;0
HO 3000/143/2;0
HO 3000/143/3;0
HO 3000/143/4;0,143
HO 3000/143/5;0,071
HO 3000/143/6;0,071
HO 3000/143/7;0,071
HO 3000/143/8;0,071
HO 3000/143/9;0,071
HO 3000/144/1;0
HO 3000/144/2;0
HO 3000/144/3;0,143
HO 3000/144/4;0
HO 3000/145/1;0
HO 3000/145/10;0,143
HO 3000/145/11;0,143
HO 3000/145/12;0,071
HO 3000/145/13;0,143
HO 3000/145/14;0,286
HO 3000/145/15;0,286
HO 3000/145/16;0
HO 3000/145/17;0
HO 3000/145/18;0
HO 3000/145/19;0,143
HO 3000/145/2;0,071
HO 3000/145/20;0
HO 3000/145/21;0,143
HO 3000/145/22;0
HO 3000/145/23;0
HO 3000/145/24;0,071
HO 3000/145/25;0,143
HO 3000/145/26;0,071
HO 3000/145/27;0,143
HO 3000/145/28;0,214
HO 3000/145/29;0
HO 3000/145/3;0
HO 3000/145/30;0,071
HO 3000/145/31;0,071
HO 3000/145/32;0,071
HO 3000/145/33;0,143
HO 3000/145/34;0,071
HO 3000/145/35;0
HO 3000/145/36;0,214
HO 3000/145/37;0,143
HO 3000/145/38;0,071
HO 3000/145/39;0,143
HO 3000/145/4;0,214
HO 3000/145/40;0,071
HO 3000/145/41;0,214
HO 3000/145/42;0
HO 3000/145/43;0,214
HO 3000/145/44;0
HO 3000/145/45;0
HO 3000/145/46;0,071
HO 3000/145/47;0,143
HO 3000/145/48;0,071
HO 3000/145/49;0,071
HO 3000/145/5;0
HO 3000/145/50;0,214
HO 3000/145/51;0,071
HO 3000/145/52;0,071
HO 3000/145/53;0,143
HO 3000/145/54;0,071
HO 3000/145/6;0,071
HO 3000/145/7;0
HO 3000/145/8;0,071
HO 3000/145/9;0
HO 3000/146/1;0
HO 3000/146/2;0
HO 3000/146/3;0
HO 3000/146/4;0
HO 3000/146/5;0
HO 3000/146/7;0
HO 3000/147/1;0
HO 3000/147/3;0
HO 3000/147/7;0
HO 3000/148/1;0
HO 3000/148/2;0
HO 3000/148/4;0
HO 3000/148/5;0,071
HO 3000/148/8;0
HO 3000/149/10;0,071
HO 3000/149/11;0,071
HO 3000/149/12;0,143
HO 3000/149/13;0,071
HO 3000/149/14;0,071
HO 3000/149/15;0,071
HO 3000/149/16;0,071
HO 3000/149/17;0,143
HO 3000/149/18;0,071
HO 3000/149/19;0,143
HO 3000/149/20;0,214
HO 3000/149/21;0,071
HO 3000/149/22;0,071
HO 3000/149/3;0
HO 3000/149/4;0
HO 3000/149/5;0,071
HO 3000/149/6;0,071
HO 3000/149/7;0,071
HO 3000/149/8;0
HO 3000/149/9;0,071
HO 3000/150/1;0
HO 3000/150/10;0,071
HO 3000/150/11;0,143
HO 3000/150/12;0,071
HO 3000/150/13;0
HO 3000/150/14;0,143
HO 3000/150/15;0
HO 3000/150/16;0
HO 3000/150/17;0
HO 3000/150/19;0,143
HO 3000/150/2;0
HO 3000/150/20;0,143
HO 3000/150/21;0
HO 3000/150/22;0,071
HO 3000/150/23;0,143
HO 3000/150/24;0
HO 3000/150/25;0,071
HO 3000/150/27;0,143
HO 3000/150/3;0
HO 3000/150/4;0,071
HO 3000/150/5;0
HO 3000/150/6;0,071
HO 3000/150/7;0
HO 3000/150/8;0
HO 3000/150/9;0,071
HO 3000/1500/1;0,143
HO 3000/1500/10;0
HO 3000/1500/11;0,143
HO 3000/1500/12;0
HO 3000/1500/13;0
HO 3000/1500/14;0,143
HO 3000/1500/15;0
HO 3000/1500/16;0,214
HO 3000/1500/17;0,071
HO 3000/1500/18;0
HO 3000/1500/19;0
HO 3000/1500/2;0
HO 3000/1500/20;0,357
HO 3000/1500/21;0,143
HO 3000/1500/22;0,071
HO 3000/1500/23;0,286
HO 3000/1500/24;0,071
HO 3000/1500/25;0
HO 3000/1500/26;0,143
HO 3000/1500/27;0,071
HO 3000/1500/28;0,143
HO 3000/1500/3;0
HO 3000/1500/4;0
HO 3000/1500/5;0,286
HO 3000/1500/6;0,143
HO 3000/1500/7;0,214
HO 3000/1500/8;0
HO 3000/1500/9;0
HO 3000/1501/1;0,143
HO 3000/1501/10;0,214
HO 3000/1501/11;0
HO 3000/1501/12;0,071
HO 3000/1501/13;0
HO 3000/1501/14;0,357
HO 3000/1501/15;0
HO 3000/1501/16;0
HO 3000/1501/2;0,071
HO 3000/1501/3;0,071
HO 3000/1501/4;0
HO 3000/1501/5;0
HO 3000/1501/6;0
HO 3000/1501/7;0
HO 3000/1501/8;0,071
HO 3000/1501/9;0,071
HO 3000/1502/1;0
HO 3000/1502/10;0,143
HO 3000/1502/11;0,071
HO 3000/1502/12;0,143
HO 3000/1502/2;0,071
